PUBLIC;ACADEMIC_Y;COURSE_NAME;COURSE_ACCESS_CONNECTION;COURSE_ACCESS_MINUTES;COURSE_INTERACTIONS;FIRST_COURSE_ACCESS;LAST_COURSE_ACCESS;T_EXE_SUBMISSION_COUNT;RATING_S1Q1;RANK_S1Q1;TOTAL_STUDENTS_NUMBER;S1Q1_EXE_SUBMISSION_COUNT;FIRST_S1Q1_EXE_SUBMISSION;LAST_S1Q1_EXE_SUBMISSION;RATING_S2Q1;DIFF_RATING_S2Q1;RANK_S2Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S2Q1;S2Q1_EXE_SUBMISSION_COUNT;FIRST_S2Q1_EXE_SUBMISSION;LAST_S2Q1_EXE_SUBMISSION;RATING_S3Q1;DIFF_RATING_S3Q1;RANK_S3Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S3Q1;S3Q1_EXE_SUBMISSION_COUNT;FIRST_S3Q1_EXE_SUBMISSION;LAST_S3Q1_EXE_SUBMISSION;RATING_S4Q1;DIFF_RATING_S4Q1;RANK_S4Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S4Q1;S4Q1_EXE_SUBMISSION_COUNT;FIRST_S4Q1_EXE_SUBMISSION;LAST_S4Q1_EXE_SUBMISSION;RATING_S5Q1;DIFF_RATING_S5Q1;RANK_S5Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S5Q1;S5Q1_EXE_SUBMISSION_COUNT;FIRST_S5Q1_EXE_SUBMISSION;LAST_S5Q1_EXE_SUBMISSION;RATING_S6Q1;DIFF_RATING_S6Q1;RANK_S6Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S6Q1;S6Q1_EXE_SUBMISSION_COUNT;FIRST_S6Q1_EXE_SUBMISSION;LAST_S6Q1_EXE_SUBMISSION;RATING_S7Q1;DIFF_RATING_S7Q1;RANK_S7Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S7Q1;S7Q1_EXE_SUBMISSION_COUNT;FIRST_S7Q1_EXE_SUBMISSION;LAST_S7Q1_EXE_SUBMISSION;RATING_S8Q1;DIFF_RATING_S8Q1;RANK_S8Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S8Q1;S8Q1_EXE_SUBMISSION_COUNT;FIRST_S8Q1_EXE_SUBMISSION;LAST_S8Q1_EXE_SUBMISSION;RATING_S9Q1;DIFF_RATING_S9Q1;RANK_S9Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S9Q1;S9Q1_EXE_SUBMISSION_COUNT;FIRST_S9Q1_EXE_SUBMISSION;LAST_S9Q1_EXE_SUBMISSION;RATING_S10Q1;DIFF_RATING_S10Q1;RANK_S10Q1;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_S10Q1;S10Q1_EXE_SUBMISSION_COUNT;FIRST_S10Q1_EXE_SUBMISSION;LAST_S10Q1_EXE_SUBMISSION;RATING_FINAL_EXAM;DIFF_RATING_FINAL_EXAM;RANK_FINAL_EXAM;TOTAL_STUDENTS_NUMBER;DIFF_RANKING_FINAL_EXAM;FE_EXE_SUBMISSION_COUNT;FIRST_FE_EXE_SUBMISSION;LAST_FE_EXE_SUBMISSION;AVG_RATING;RANK;TOTAL_STUDENTS_NUMBER;ACTIVITY_ORIENTED_INVESTMENT;INTERACTION_ORIENTED_INVESTMENT;COURSE_ACCESS_CONNECTION_ORIENTED_INVESTMENT;COURSE_ACCESS_COUNT_ORIENTED_INVESTMENT;ENGAGEMENT;DIFFICULTY
M2I,IA BIG DATA  ;2021_2022;Python;10;662;107;2021-10-18 05:38:56.218 ;2022-02-09 02:23:26.647 ;2;80;6;29;2;2021-10-20 10:27:33.013 ;2021-10-20 10:38:05.785 ;0;-80;29;29;23;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;26;29;12,5;20,03745318;36,65559247;55,55555556;37,4162004;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;7;132;98;2021-10-18 05:53:18.298 ;2021-10-24 11:41:59.645 ;3;80;6;29;2;2021-10-19 02:15:58.514 ;2021-10-19 02:20:49.509 ;100;20;1;29;-5;1;2021-10-19 06:39:56.670 ;2021-10-19 06:39:56.670 ;0;-100;29;29;28;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22,5;23;29;25;18,35205993;7,3089701;38,88888889;21,51663964;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;8;935;229;2021-10-18 05:27:11.551 ;2021-10-24 13:09:28.785 ;8;80;6;29;6;2021-10-19 01:19:12.007 ;2021-10-19 02:14:02.826 ;70;-10;26;29;20;1;2021-10-19 03:16:32.336 ;2021-10-19 03:16:32.336 ;100;30;1;29;-25;1;2021-10-20 05:13:17.840 ;2021-10-20 05:13:17.840 ;80;-20;9;29;8;1;2021-10-20 06:36:52.711 ;2021-10-20 06:36:52.711 ;88,89;8,89;1;29;-8;1;2021-10-20 14:17:15.778 ;2021-10-20 14:17:15.778 ;0;-88,89;29;29;28;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;52,36125;16;29;62,5;42,88389513;51,77187154;44,44444444;46,36673704;E-P+
M2I,IA BIG DATA  ;2021_2022;Python;18;1560;534;2021-10-18 05:22:43.908 ;2022-03-26 18:23:39.351 ;10;70;25;29;2;2021-10-18 06:09:51.417 ;2021-10-18 06:10:56.903 ;90;20;15;29;-10;1;2021-10-18 06:15:34.235 ;2021-10-18 06:15:34.235 ;85;-5;16;29;1;1;2021-10-19 06:37:11.519 ;2021-10-19 06:37:11.519 ;100;15;1;29;-15;1;2021-10-19 06:54:23.451 ;2021-10-19 06:54:23.451 ;77,78;-22,22;3;29;2;2;2021-10-19 07:08:21.841 ;2021-10-19 07:13:21.987 ;90;12,22;5;29;2;1;2021-10-19 07:20:53.541 ;2021-10-19 07:20:53.541 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;60;-30;7;29;2;1;2021-10-19 07:33:40.994 ;2021-10-19 07:33:40.994 ;100;40;1;29;-6;1;2021-10-19 07:43:50.963 ;2021-10-19 07:43:50.963 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;84,0975;9;29;100;100;86,37873754;100;95,45957918;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;8;687;156;2021-10-18 05:22:36.976 ;2021-10-24 12:00:58.539 ;4;80;6;29;2;2021-10-19 01:02:28.101;2021-10-19 01:02:52.413 ;100;20;1;29;-5;1;2021-10-19 01:47:06.739 ;2021-10-19 01:47:06.739 ;85;-15;16;29;15;1;2021-10-19 02:14:03.090 ;2021-10-19 02:14:03.090 ;0;-85;29;29;13;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;33,125;21;29;37,5;29,21348315;38,03986711;44,44444444;37,23259823;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;10;1615;278;2021-10-18 10:17:20.177 ;2021-11-01 13:10:48.623 ;8;80;6;29;2;2021-10-19 07:25:07.941 ;2021-10-19 07:26:52.395 ;100;20;1;29;-5;1;2021-10-19 07:39:39.381 ;2021-10-19 07:39:39.381;95;-5;7;29;6;1;2021-10-19 13:20:13.173 ;2021-10-19 13:20:13.173 ;70;-25;15;29;8;1;2021-10-19 14:37:11.193 ;2021-10-19 14:37:11.193 ;72,22;2,22;9;29;-6;1;2021-10-20 10:58:24.562 ;2021-10-20 10:58:24.562 ;90;17,78;5;29;-4;1;2021-10-20 14:30:42.832 ;2021-10-20 14:30:42.832 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;80;-10;4;29;-1;1;2021-10-20 14:51:58.484 ;2021-10-20 14:51:58.484 ;0;-80;29;29;25;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;73,4025;10;29;87,5;52,05992509;89,42414175;55,55555556;65,67987413;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;17;1028;341;2021-10-18 01:41:48.077;2021-10-24 14:14:52.170 ;10;90;1;29;2;2021-10-19 02:41:29.391 ;2021-10-19 02:45:01.721 ;100;10;1;29;0;1;2021-10-19 02:47:18.154 ;2021-10-19 02:47:18.154 ;95;-5;7;29;6;3;2021-10-19 03:28:22.814 ;2021-10-19 16:09:20.169 ;90;-5;5;29;-2;1;2021-10-20 03:52:01.995 ;2021-10-20 03:52:01.995 ;77,78;-12,22;3;29;-2;2;2021-10-20 04:01:15.845 ;2021-10-20 04:06:34.154 ;90;12,22;5;29;2;1;2021-10-20 04:20:34.881 ;2021-10-20 04:20:34.881 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;-90;29;29;24;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;67,8475;10;29;75;63,8576779;56,9213732;94,44444444;71,74116518;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;7;182;34;2021-10-18 06:01:44.140 ;2022-03-14 01:31:02.127;1;0;29;29;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;29;29;12,5;6,367041199;10,07751938;38,88888889;18,44448316;E-P-
M2I,IA BIG DATA  ;2021_2022;Python;16;1254;291;2021-10-18 05:22:47.157 ;2022-01-18 08:31:01.187 ;13;90;1;29;5;2021-10-18 07:11:51.912 ;2021-11-10 00:47:46.411 ;90;0;15;29;14;1;2021-10-20 03:16:34.769 ;2021-10-20 03:16:34.769 ;90;0;12;29;-3;6;2021-10-20 08:30:11.433 ;2021-10-20 08:44:54.231 ;90;0;5;29;-7;1;2021-10-21 01:50:08.859 ;2021-10-21 01:50:08.859 ;72,22;-17,78;9;29;4;1;2021-10-21 07:55:16.384 ;2021-10-21 07:55:16.384 ;0;-72,22;29;29;20;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;54,0275;16;29;75;54,49438202;69,43521595;88,88888889;70,93949562;E+P+
M2I,IA BIG DATA  ;2021_2022;Python;9;535;160;2021-10-18 05:44:38.472 ;2021-10-24 14:35:01.320 ;7;80;6;29;2;2021-10-19 02:08:08.280 ;2021-10-19 02:19:43.962 ;100;20;1;29;-5;2;2021-10-20 02:11:46.841 ;2021-10-20 02:24:51.333 ;90;-10;12;29;11;1;2021-10-20 04:51:34.991 ;2021-10-20 04:51:34.991 ;100;10;1;29;-11;1;2021-10-20 05:38:06.170 ;2021-10-20 05:38:06.170 ;0;-100;29;29;28;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;29;29;0;0;NULL;NULL;0;0;29;29;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;46,25;17;29;50;29,96254682;29,6234773;50;36,5286747;E-P-
